@relation 'snake_game-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R6,8,18-19-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Score numeric
@attribute Dist_right_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Horizontal_weight numeric
@attribute Vertical_weight numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
0.787234,0.680851,0.73913,0.76087,0.196485,0.212766,0.319149,0.5,0,0.5,0,0.723404,0.787234,0.330846,0.048917,UP
0.234043,0.553191,0.23913,0.73913,0.057996,0.765957,0.446809,0.5,1,0.5,1,0.234043,0.510638,0.5,0.838218,DOWN
0.659574,0.595745,0.913043,0.304348,0.044288,0.340426,0.404255,0.5,1,0.5,1,0.659574,0.531915,0.5,0.880502,DOWN
0.468085,0.170213,0.26087,0.130435,0.703691,0.531915,0.829787,1,0.5,1,0.5,0.234043,0.744681,0.003814,0.105295,RIGHT
0.382979,0.617021,0.652174,0.804348,0.347979,0.617021,0.382979,0.5,1,0.5,1,0.382979,0.212766,0.5,0.981983,DOWN
0.574468,0.93617,0.326087,0.956522,0.636204,0.425532,0.06383,1,0.5,1,0.5,0.404255,0.87234,0.005892,0.713592,RIGHT
0.361702,0.234043,0.23913,0,0.359578,0.638298,0.765957,0.5,0,0.75,0.25,0.212766,0.021277,0.043284,0.550687,UP
0.148936,0.723404,0.304348,1,0.771178,0.851064,0.276596,0.5,1,0.5,1,0.191489,0.319149,0.904091,0.997957,DOWN
0.574468,0.574468,0.565217,1,0.373286,0.425532,0.425532,0.5,1,0.5,1,0.638298,0.042553,0.552496,0.989857,DOWN
0.851064,0.659574,0.913043,0.304348,0.04007,0.148936,0.340426,1,0.5,1,0.5,0.787234,0.659574,0.119403,0.499946,RIGHT
0.361702,0.425532,0.108696,0.108696,0.724077,0.638298,0.574468,0.5,0,0.25,0.25,0.851064,0.510638,0.984396,0.00407,UP
0.425532,0.702128,0.73913,0.652174,0.9058,0.574468,0.297872,0.5,0,0.5,0,0.957447,0.382979,0.910803,0.250269,UP
0.531915,0.276596,0.043478,0.26087,0.487522,0.468085,0.723404,0,0.5,0,0.5,0.744681,0.638298,0.990547,0.195501,LEFT
0.06383,0.957447,0.065217,0.978261,0.087873,0.93617,0.042553,0,0.5,0,0.5,0.148936,0.957447,0.90597,0.499946,LEFT
0.382979,0.106383,1,0.065217,0.069947,0.617021,0.893617,1,0.5,1,0.5,0.340426,0.106383,0.161691,0.499946,RIGHT
0.468085,0.723404,0.23913,0.695652,0.512127,0.531915,0.276596,1,0.5,1,0.5,0.553191,0.489362,0.12608,0.84712,RIGHT
0.021277,0.680851,0.021739,0.630435,0.638664,0.978723,0.319149,0.5,1,0.5,1,0.276596,0.851064,0.945952,0.63833,DOWN
0.723404,0.553191,0.73913,0.282609,0.669244,0.276596,0.446809,0.5,1,0.5,1,0.765957,0.255319,0.748333,0.996558,DOWN
0.829787,0.382979,0.826087,0.391304,0.733568,0.170213,0.617021,0,0.5,0,0.5,0.93617,0.446809,0.995086,0.091545,LEFT
0.06383,1,0.043478,0.869565,0.262214,0.93617,0,0,0.5,0.25,0.75,0.12766,0.808511,0.968427,0.929291,UP
0.12766,0.191489,0.913043,0.413043,0.725483,0.87234,0.808511,0.5,1,0.5,1,0.404255,0.446809,0.913983,0.446535,DOWN
0.12766,0.638298,0.130435,0.652174,0.301933,0.87234,0.361702,0.5,1,0.5,1,0.106383,0.382979,0.436567,0.975641,DOWN
0.829787,0.702128,0.652174,0.695652,0.153603,0.170213,0.297872,0,0.5,0,0.5,0.978723,0.702128,0.94403,0.499946,LEFT
0.425532,0.042553,0.23913,0,0.370826,0.574468,0.957447,0,0.5,0,0.5,0.744681,0.12766,0.98209,0.398464,LEFT
0.382979,0.702128,0.23913,0.73913,0.049561,0.617021,0.297872,0,0.5,0,0.5,0.425532,0.702128,0.838309,0.499946,LEFT
0.297872,0.361702,0.217391,0.913043,0.529701,0.702128,0.638298,0.5,1,0.5,1,0.531915,0.553191,0.891471,0.514443,DOWN
0.234043,0.978723,0.978261,0.978261,0.648155,0.765957,0.021277,1,0.5,1,0.5,0.12766,0.638298,0.007463,0.828269,RIGHT
0.212766,0.425532,0.347826,0.456522,0.149033,0.787234,0.574468,1,0.5,0.75,0.25,0.276596,0.489362,0.443615,0.105295,RIGHT
0.87234,0.659574,0.565217,0.565217,0.585237,0.12766,0.340426,0.5,0,0.5,0,0.659574,0.425532,0.05295,0.427459,UP
0.468085,0.06383,0.086957,0.065217,0.268541,0.531915,0.93617,0,0.5,0,0.5,0.787234,0.191489,0.984396,0.130922,LEFT
0.574468,0.829787,0.326087,0.913043,0.550088,0.425532,0.170213,0.5,1,0.5,1,0.382979,0.531915,0.14247,0.995822,DOWN
0.659574,0.957447,0.76087,0.956522,0.382425,0.340426,0.042553,1,0.5,1,0.5,0.574468,0.574468,0.014601,0.897048,RIGHT
0.212766,0.957447,0.173913,0.934783,0.120562,0.787234,0.042553,0.5,1,0.5,1,0.297872,0.914894,0.789979,0.934867,LEFT
0.255319,0.744681,0.23913,0.695652,0.551142,0.744681,0.255319,0,0.5,0.25,0.25,0.276596,0.659574,0.994108,0.37977,LEFT
0.765957,0.212766,0.782609,0.043478,0.271705,0.234043,0.787234,0.5,0,0.75,0.25,0.659574,0.042553,0.031573,0.538977,UP
0.93617,0.659574,0.934783,0.23913,0.385237,0.06383,0.340426,1,0.5,1,0.5,0.723404,0.851064,0.01791,0.271612,UP
0.297872,0.276596,0.304348,0.456522,0.328295,0.702128,0.723404,0.5,0,0.5,0,0.06383,0.489362,0.246269,0.01368,UP
