@relation snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Dist_Tail_x numeric
@attribute Dist_Tail_y numeric
@attribute Horizontal_Weight numeric
@attribute Vertical_Weight numeric
@attribute Score numeric
@attribute Length numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
1.669788,-1.316148,1.399091,0.814034,-0.010206,1.555143,1.669788,-1.669788,-1.316148,1.316148,-0.031663,1.372129,-0.032947,1.395724,3.205771,3.205797,3.183429,2.107697,1.699466,-1.481838,-0.019455,0.190698,0.017928,0.007722,-1.252644,-1.255356,-0.56245,1.664278,-0.590154,DOWN
1.669788,-1.235315,1.399091,0.814034,-0.010206,1.499725,1.669788,-1.669788,-1.235315,1.235315,-0.031663,1.372129,-0.032947,1.395724,3.205771,3.205797,3.183429,2.107697,1.699466,-1.40072,-0.019455,0.190698,0.017928,0.007722,-1.253859,-1.255356,-0.56245,1.664278,-0.590154,DOWN
1.669788,-1.154482,1.399091,0.814034,-0.010206,1.444306,1.669788,-1.669788,-1.154482,1.154482,-0.031663,1.372129,-0.032947,1.395724,3.205771,3.205797,3.183429,2.107697,1.699466,-1.319602,-0.019455,0.190698,0.017928,0.007722,-1.255075,-1.255356,-0.56245,1.664278,-0.590154,DOWN
1.669788,-1.073649,1.399091,0.814034,-0.010206,1.388887,1.669788,-1.669788,-1.073649,1.073649,-0.031663,1.372129,-0.032947,1.395724,3.205771,3.205797,3.183429,2.107697,1.699466,-1.238484,-0.019455,0.190698,0.017928,0.007722,-1.25629,-1.255356,-0.56245,1.664278,-0.590154,DOWN
1.669788,-0.992816,1.399091,0.814034,-0.010206,1.333468,1.669788,-1.669788,-0.992816,0.992816,-0.031663,1.372129,-0.032947,1.395724,3.205771,3.205797,3.183429,2.107697,1.699466,-1.157366,-0.019455,0.190698,0.017928,0.007722,-1.257506,-1.255356,-0.56245,1.664278,-0.590154,DOWN
1.669788,-0.911982,1.399091,0.814034,-0.010206,1.278049,1.669788,-1.669788,-0.911982,0.911982,-0.031663,1.372129,-0.032947,1.395724,3.205771,3.205797,3.183429,2.107697,1.699466,-1.076248,-0.019455,0.190698,0.017928,0.007722,-1.258721,-1.255356,-0.56245,1.664278,-0.590154,DOWN
1.669788,-0.831149,1.399091,0.814034,-0.010206,1.22263,1.669788,-1.669788,-0.831149,0.831149,-0.031663,1.372129,-0.032947,1.395724,3.205771,3.205797,3.183429,2.107697,1.699466,-0.995131,-0.019455,0.190698,0.017928,0.007722,-1.259936,-1.255356,-0.56245,1.664278,-0.590154,DOWN
1.669788,-0.750316,1.399091,0.814034,-0.010206,1.167212,1.669788,-1.669788,-0.750316,0.750316,-0.031663,1.372129,-0.032947,1.395724,3.205771,3.205797,3.183429,2.107697,1.699466,-0.914013,-0.019455,0.190698,0.017928,0.007722,-1.261152,-1.255356,-0.56245,1.664278,-0.590154,DOWN
1.669788,-0.669483,1.399091,0.814034,-0.010206,1.111793,1.669788,-1.669788,-0.669483,0.669483,-0.031663,1.372129,-0.032947,1.395724,3.205771,3.205797,3.183429,2.107697,1.699466,-0.832895,-0.019455,0.190698,0.017928,0.007722,-1.262367,-1.255356,-0.56245,1.664278,-0.590154,DOWN
1.669788,-0.58865,1.399091,0.814034,-0.010206,1.056374,1.669788,-1.669788,-0.58865,0.58865,-0.031663,1.372129,-0.032947,1.395724,3.205771,3.205797,3.183429,2.107697,1.699466,-0.751777,-0.019455,0.190698,0.017928,0.007722,-1.263582,-1.255356,-0.56245,1.664278,-0.590154,DOWN
