@relation 'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_right_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
1.819269,-0.91297,-1.461187,1.077893,-1.819269,0.91297,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-0.83505,-1.461187,1.000323,-1.819269,0.83505,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-0.75713,-1.461187,0.922754,-1.819269,0.75713,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-0.679211,-1.461187,0.845184,-1.819269,0.679211,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-0.601291,-1.461187,0.767615,-1.819269,0.601291,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-0.523372,-1.461187,0.690045,-1.819269,0.523372,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-0.445452,-1.461187,0.612476,-1.819269,0.445452,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-0.367532,-1.461187,0.534907,-1.819269,0.367532,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-0.289613,-1.461187,0.457337,-1.819269,0.289613,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-0.211693,-1.461187,0.379768,-1.819269,0.211693,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-0.133773,-1.461187,0.302198,-1.819269,0.133773,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-0.055854,-1.461187,0.224629,-1.819269,0.055854,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,0.022066,-1.461187,0.147059,-1.819269,-0.022066,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,0.099986,-1.461187,0.06949,-1.819269,-0.099986,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,0.177905,-1.461187,-0.00808,-1.819269,-0.177905,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,LEFT
1.73863,0.177905,-1.386147,-0.00808,-1.73863,-0.177905,-1.411698,-0.020272,-0.732888,0.717538,3.318423,3.321718,-0.548909,-0.570481,-0.610712,LEFT
1.657991,0.177905,-1.311108,-0.00808,-1.657991,-0.177905,-1.411698,-0.020272,-1.436703,-0.02052,3.318423,3.321718,-0.548909,-0.570481,-0.610712,LEFT
1.577351,0.177905,-1.236068,-0.00808,-1.577351,-0.177905,-1.411698,-0.020272,-1.436703,-0.02052,3.318423,3.321718,-0.548909,-0.570481,-0.610712,LEFT
1.496712,0.177905,-1.161029,-0.00808,-1.496712,-0.177905,-1.411698,-0.020272,-1.436703,-0.02052,3.318423,3.321718,-0.548909,-0.570481,-0.610712,LEFT
1.416073,0.177905,-1.08599,-0.00808,-1.416073,-0.177905,-1.411698,-0.020272,-1.436703,-0.02052,3.318423,3.321718,-0.548909,-0.570481,-0.610712,LEFT
1.335434,0.177905,-1.01095,-0.00808,-1.335434,-0.177905,-1.411698,-0.020272,-1.436703,-0.02052,3.318423,3.321718,-0.548909,-0.570481,-0.610712,LEFT
1.254795,0.177905,-0.935911,-0.00808,-1.254795,-0.177905,-1.411698,-0.020272,-1.436703,-0.02052,3.318423,3.321718,-0.548909,-0.570481,-0.610712,LEFT
1.174156,0.177905,-0.860871,-0.00808,-1.174156,-0.177905,-1.411698,-0.020272,-1.436703,-0.02052,3.318423,3.321718,-0.548909,-0.570481,-0.610712,LEFT
