@relation snake_game-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Dist_Tail_x numeric
@attribute Dist_Tail_y numeric
@attribute Horizontal_Weight numeric
@attribute Vertical_Weight numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
1.368435,-0.856535,1.161829,-0.695362,-0.01097,0.038351,1.368435,-1.368435,-0.856535,0.856535,-0.020972,1.401951,-0.021907,1.425525,3.592098,3.593354,3.560673,2.144552,1.362692,-1.091777,-0.004618,0.289814,0.000256,0.846148,-0.55169,1.711335,-0.59821,DOWN
1.368435,-0.777304,1.653751,1.230166,0.639631,1.519675,1.368435,-1.368435,-0.777304,0.777304,-0.020972,1.401951,-0.021907,1.425525,-0.272587,-0.039796,-0.270464,-1.449376,1.362692,-1.091777,-0.004618,0.387531,0.000256,0.676895,-0.55169,1.711335,-0.59821,RIGHT
1.45062,-0.777304,1.653751,1.230166,0.546688,1.519675,1.45062,-1.45062,-0.777304,0.777304,1.376646,-0.030309,0.687574,0.697389,-0.195294,-0.117097,-0.193842,-1.449376,1.362692,-1.012528,0.096237,0.289814,-0.663394,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
1.532804,-0.777304,1.653751,1.230166,0.453745,1.519675,1.532804,-1.532804,-0.777304,0.777304,1.376646,-0.030309,1.397055,-0.030748,-0.118,-0.194398,-0.117219,-1.449376,1.362692,-0.933278,0.197092,0.192097,-0.663394,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
1.614989,-0.777304,1.653751,1.230166,0.360802,1.519675,1.614989,-1.614989,-0.777304,0.777304,1.376646,-0.030309,1.397055,-0.030748,-0.040706,-0.271699,-0.040596,-1.449376,1.362692,-0.854029,0.297947,0.09438,-0.663394,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
1.697174,-0.777304,1.653751,1.230166,0.267859,1.519675,1.697174,-1.697174,-0.777304,0.777304,1.376646,-0.030309,1.397055,-0.030748,-0.040706,-0.271699,0.036027,-1.449376,1.362692,-0.774779,0.398803,-0.003337,-0.663394,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
1.779358,-0.777304,1.653751,1.230166,0.174916,1.519675,1.779358,-1.779358,-0.777304,0.777304,1.376646,-0.030309,1.397055,-0.030748,-0.040706,-0.271699,0.036027,-1.497295,1.444307,-0.774779,0.398803,-0.003337,-0.663394,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
1.861543,-0.777304,1.653751,1.230166,0.081973,1.519675,1.861543,-1.861543,-0.777304,0.777304,1.376646,-0.030309,1.397055,-0.030748,-0.040706,-0.271699,0.036027,-1.545214,1.525923,-0.774779,0.398803,-0.003337,-0.663394,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
1.943728,-0.777304,1.653751,1.230166,-0.01097,1.519675,1.943728,-1.943728,-0.777304,0.777304,1.376646,-0.030309,1.397055,-0.030748,-0.040706,-0.271699,0.036027,-1.593133,1.607538,-0.774779,0.398803,-0.003337,-0.663394,-0.000115,-0.55169,-0.584283,1.671494,DOWN
1.943728,-0.698073,1.653751,1.230166,-0.01097,1.464811,1.943728,-1.943728,-0.698073,0.698073,-0.020972,1.401951,0.687574,0.697389,-0.118,-0.194398,-0.040596,-1.593133,1.689153,-0.774779,0.297947,0.09438,0.000256,0.676895,-0.55169,1.711335,-0.59821,DOWN
1.943728,-0.618842,1.653751,1.230166,-0.01097,1.409947,1.943728,-1.943728,-0.618842,0.618842,-0.020972,1.401951,-0.021907,1.425525,-0.195294,-0.117097,-0.117219,-1.593133,1.770769,-0.774779,0.197092,0.192097,0.000256,0.676895,-0.55169,1.711335,-0.59821,DOWN
1.943728,-0.539611,1.653751,1.230166,-0.01097,1.355083,1.943728,-1.943728,-0.539611,0.539611,-0.020972,1.401951,-0.021907,1.425525,-0.272587,-0.039796,-0.193842,-1.593133,1.852384,-0.774779,0.096237,0.289814,0.000256,0.676895,-0.55169,1.711335,-0.59821,DOWN
1.943728,-0.46038,1.653751,1.230166,-0.01097,1.30022,1.943728,-1.943728,-0.46038,0.46038,-0.020972,1.401951,-0.021907,1.425525,-0.272587,-0.039796,-0.270464,-1.593133,1.933999,-0.774779,-0.004618,0.387531,0.000256,0.676895,-0.55169,1.711335,-0.59821,DOWN
1.943728,-0.381149,1.653751,1.230166,-0.01097,1.245356,1.943728,-1.943728,-0.381149,0.381149,-0.020972,1.401951,-0.021907,1.425525,-0.272587,-0.039796,-0.270464,-1.545214,1.933999,-0.69553,-0.004618,0.387531,0.000256,0.676895,-0.55169,1.711335,-0.59821,DOWN
1.943728,-0.301918,1.653751,1.230166,-0.01097,1.190492,1.943728,-1.943728,-0.301918,0.301918,-0.020972,1.401951,-0.021907,1.425525,-0.272587,-0.039796,-0.270464,-1.497295,1.933999,-0.61628,-0.004618,0.387531,0.000256,0.676895,-0.55169,1.711335,-0.59821,DOWN
1.943728,-0.222687,1.653751,1.230166,-0.01097,1.135628,1.943728,-1.943728,-0.222687,0.222687,-0.020972,1.401951,-0.021907,1.425525,-0.272587,-0.039796,-0.270464,-1.449376,1.933999,-0.537031,-0.004618,0.387531,0.000256,0.676895,-0.55169,1.711335,-0.59821,DOWN
1.943728,-0.143456,1.653751,1.230166,-0.01097,1.080764,1.943728,-1.943728,-0.143456,0.143456,-0.020972,1.401951,-0.021907,1.425525,-0.272587,-0.039796,-0.270464,-1.401457,1.933999,-0.457781,-0.004618,0.387531,0.000256,0.676895,-0.55169,1.711335,-0.59821,DOWN
