@relation 'snake_game-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R5-6,8,23-weka.filters.unsupervised.attribute.AddExpression-Ea1-a15-NDist_tail_x-weka.filters.unsupervised.attribute.AddExpression-Ea2-a16-NDist_tail_y-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,20-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_right_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Horizontal_weight numeric
@attribute Vertical_weight numeric
@attribute Length numeric
@attribute Dist_tail_x numeric
@attribute Dist_tail_y numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
0.702128,0.829787,0.673913,0.326087,0.297872,0.170213,1,0.5,1,0.5,0.113208,0.056604,0.148148,0.555556,0.510638,0.829787,0.039024,0.499851,0.179487,0.59375,0.491525,UP
0.765957,0.319149,0.869565,0.23913,0.234043,0.680851,0,0.5,0,0.5,0,0.056604,0,0.166667,0.787234,0.085106,0.989926,0.856267,0.512821,0.4375,0.677966,UP
0.06383,0.638298,0.043478,0.065217,0.93617,0.361702,0,0.5,0,0.5,1,1,1,1,0.12766,0.638298,0.884147,0.499851,0.025641,0.40625,0.491525,UP
0.957447,0.617021,0.934783,0.586957,0.042553,0.382979,0.5,0,0.75,0.25,0.09434,0.037736,0.12963,0.3,0.595745,0.638298,0.04172,0.01447,0.410256,0.71875,0.474576,UP
0.404255,0.638298,0.369565,0.869565,0.595745,0.361702,0.5,0,0.5,0,0.056604,0,0.074074,0.566667,0.425532,0.914894,0.534147,0.021661,0.307692,0.4375,0.271186,UP
0.404255,0.340426,0.391304,0.26087,0.595745,0.659574,0.5,0,0.5,0,0.056604,0,0.074074,0.411111,0.404255,0.425532,0.5,0.089973,0.051282,0.453125,0.423729,UP
0.510638,0.404255,0.608696,0.26087,0.489362,0.595745,0.5,0,0.5,0,0.056604,0,0.055556,0.377778,0.680851,0.382979,0.884147,0.115591,0.333333,0.328125,0.508475,UP
0.404255,0.595745,0.23913,0.652174,0.595745,0.404255,0.5,0,0.5,0,0.056604,0,0.074074,0.544444,0.361702,0.723404,0.386179,0.044431,0.153846,0.484375,0.389831,UP
0.638298,0.574468,0.652174,0.695652,0.361702,0.425532,0.5,0,0.5,0,1,1,1,1,0.638298,0.617021,0.5,0.158286,0,0.453125,0.457627,UP
0.425532,0.106383,0.652174,0,0.574468,0.893617,0.5,0,0.5,0,1,1,1,1,0.425532,0.170213,0.5,0.115591,0.025641,0.453125,0.440678,UP
