@relation snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Dist_Tail_x numeric
@attribute Dist_Tail_y numeric
@attribute Horizontal_Weight numeric
@attribute Vertical_Weight numeric
@attribute Score numeric
@attribute Length numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
-0.7571,-1.932692,-1.703867,-1.782978,-1.020297,-0.069019,-0.7571,0.7571,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.584776,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.689873,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
-0.839716,-1.932692,-1.703867,-1.782978,-0.94786,-0.069019,-0.839716,0.839716,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.667418,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.691012,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
-0.922331,-1.932692,-1.703867,-1.782978,-0.875423,-0.069019,-0.922331,0.922331,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.750059,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.692152,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
-1.004946,-1.932692,-1.703867,-1.782978,-0.802985,-0.069019,-1.004946,1.004946,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.8327,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.693291,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
-1.087562,-1.932692,-1.703867,-1.782978,-0.730548,-0.069019,-1.087562,1.087562,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.915342,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.694431,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
-1.170177,-1.932692,-1.703867,-1.782978,-0.658111,-0.069019,-1.170177,1.170177,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.997983,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.69557,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
-1.252792,-1.932692,-1.703867,-1.782978,-0.585674,-0.069019,-1.252792,1.252792,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,-1.080624,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.69671,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
-1.335407,-1.932692,-1.703867,-1.782978,-0.513237,-0.069019,-1.335407,1.335407,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,-1.163266,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.697849,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
-1.418023,-1.932692,-1.703867,-1.782978,-0.4408,-0.069019,-1.418023,1.418023,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,-1.245907,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.698989,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
-1.500638,-1.932692,-1.703867,-1.782978,-0.368363,-0.069019,-1.500638,1.500638,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,-1.328548,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.700128,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
