@relation snake_game-weka.filters.unsupervised.attribute.Remove-R19-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
-0.055562,-0.400563,-0.063524,-0.855527,-0.021125,-0.420753,-0.055562,0.055562,-0.400563,0.400563,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.055562,1.039131,-0.063524,-0.508905,-0.021125,-1.166688,-0.055562,0.055562,1.039131,-1.039131,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.562282,1.039131,-1.330975,-1.548771,-0.021125,-2.027381,-1.562282,1.562282,1.039131,-1.039131,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.028145,-0.480546,0.00689,-1.410122,-0.021125,-0.82241,0.028145,-0.028145,-0.480546,0.480546,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.725215,0.239301,-0.626836,-0.716878,-0.021125,-0.765031,-0.725215,0.725215,0.239301,-0.239301,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.139269,0.079335,-0.133938,-1.271473,-0.021125,-1.109308,-0.139269,0.139269,0.079335,-0.079335,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.446678,-1.520325,0.35896,-1.479446,-0.021125,-0.133856,0.446678,-0.446678,-1.520325,1.520325,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
1.785985,0.079335,1.485584,-0.578229,-0.021125,-0.535513,1.785985,-1.785985,0.079335,-0.079335,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.865211,-0.32058,0.71103,-0.716878,-0.021125,-0.363374,0.865211,-0.865211,-0.32058,0.32058,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.948918,0.799182,0.781444,-1.340797,-0.021125,-1.683103,0.948918,-0.948918,0.799182,-0.799182,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.562282,1.439046,-1.330975,1.085556,-0.021125,-0.133856,-1.562282,1.562282,1.439046,-1.439046,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.948918,-0.32058,0.781444,-0.370256,-0.021125,-0.076476,0.948918,-0.948918,-0.32058,0.32058,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.111851,1.678994,0.077304,0.461637,-0.021125,-0.82241,0.111851,-0.111851,1.678994,-1.678994,-0.02609,-1.471747,0.675223,-0.761123,1.827702,-0.573413,-0.608917,UP
-0.474095,1.119114,-0.415594,0.184339,-0.021125,-0.650272,-0.474095,0.474095,1.119114,-1.119114,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
1.534865,0.239301,1.274342,-0.855527,-0.021125,-0.87979,1.534865,-1.534865,0.239301,-0.239301,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.446678,-1.360359,0.35896,-1.271473,-0.021125,-0.076476,0.446678,-0.446678,-1.360359,1.360359,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.446678,0.639216,0.35896,-0.716878,-0.021125,-1.051928,0.446678,-0.446678,0.639216,-0.639216,-1.410362,-0.024729,-1.436009,-0.025225,-0.547082,-0.573413,-0.608917,UP
0.028145,0.559233,0.00689,-0.162283,-0.021125,-0.535513,0.028145,-0.028145,0.559233,-0.559233,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.892629,-0.720495,-0.767664,-1.479446,-0.021125,-0.707651,-0.892629,0.892629,-0.720495,0.720495,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.892629,0.159318,-0.767664,-1.132824,-0.021125,-1.051928,-0.892629,0.892629,0.159318,-0.159318,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.976335,1.439046,-0.838078,0.115015,-0.021125,-0.937169,-0.976335,0.976335,1.439046,-1.439046,-1.410362,-0.024729,-1.436009,-0.025225,-0.547082,-0.573413,-0.608917,UP
0.446678,-1.440342,0.35896,-1.479446,-0.021125,-0.191235,0.446678,-0.446678,-1.440342,1.440342,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.311162,0.239301,-1.119733,-1.271473,-0.021125,-1.224067,-1.311162,1.311162,0.239301,-0.239301,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.562282,1.119114,-1.330975,-1.548771,-0.021125,-2.08476,-1.562282,1.562282,1.119114,-1.119114,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.227455,-1.360359,-1.04932,-1.479446,-0.021125,-0.248615,-1.227455,1.227455,-1.360359,1.360359,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
1.451158,-0.160614,1.203928,-0.924851,-0.021125,-0.650272,1.451158,-1.451158,-0.160614,0.160614,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.614091,-0.960444,0.499788,-1.618095,-0.021125,-0.650272,0.614091,-0.614091,-0.960444,0.960444,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
1.869691,1.039131,1.555998,-0.162283,-0.021125,-0.87979,1.869691,-1.869691,1.039131,-1.039131,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.222975,0.079335,-0.204352,-1.548771,-0.021125,-1.338826,-0.222975,0.222975,0.079335,-0.079335,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.474095,-0.480546,-0.415594,-1.202149,-0.021125,-0.650272,-0.474095,0.474095,-0.480546,0.480546,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.697798,0.319284,0.570202,-0.370256,-0.021125,-0.535513,0.697798,-0.697798,0.319284,-0.319284,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.813402,1.199097,-1.542217,0.946908,-0.021125,-0.076476,-1.813402,1.813402,1.199097,-1.199097,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.897109,0.319284,-1.612631,-1.271473,-0.021125,-1.281447,-1.897109,1.897109,0.319284,-0.319284,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.729695,-0.080631,-1.471803,-0.716878,-0.021125,-0.535513,-1.729695,1.729695,-0.080631,0.080631,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.474095,-1.040427,-0.415594,-1.340797,-0.021125,-0.363374,-0.474095,0.474095,-1.040427,1.040427,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.474095,-0.240597,-0.415594,-1.202149,-0.021125,-0.82241,-0.474095,0.474095,-0.240597,0.240597,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.474095,1.678994,-0.415594,-0.43958,-0.021125,-1.568344,-0.474095,0.474095,1.678994,-1.678994,1.358182,-0.024729,1.378967,-0.025225,-0.547082,-0.573413,1.642099,UP
0.865211,0.399267,-1.612631,0.461637,-2.945603,0.095662,0.865211,-0.865211,0.399267,-0.399267,-1.410362,-0.024729,-0.732265,-0.761123,-0.547082,-0.573413,-0.608917,UP
1.785985,1.039131,1.485584,-1.0635,-0.021125,-1.625724,1.785985,-1.785985,1.039131,-1.039131,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.562282,0.399267,-1.330975,-0.231607,-0.021125,-0.478133,-1.562282,1.562282,0.399267,-0.399267,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.781505,1.039131,0.640616,-1.202149,-0.021125,-1.740483,0.781505,-0.781505,1.039131,-1.039131,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.892629,0.239301,-0.767664,-1.479446,-0.021125,-1.396206,-0.892629,0.892629,0.239301,-0.239301,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.306682,1.359063,-0.274766,0.877583,-0.021125,-0.248615,-0.306682,0.306682,1.359063,-1.359063,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
1.785985,1.599011,1.485584,-1.0635,-0.021125,-2.027381,1.785985,-1.785985,1.599011,-1.599011,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.729695,-0.800478,-1.471803,-1.548771,-0.021125,-0.707651,-1.729695,1.729695,-0.800478,0.800478,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.976335,0.47925,-0.838078,0.115015,-0.021125,-0.248615,-0.976335,0.976335,0.47925,-0.47925,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.028145,-0.240597,0.00689,-0.994175,-0.021125,-0.650272,0.028145,-0.028145,-0.240597,0.240597,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.227455,-1.360359,-1.04932,-1.271473,-0.021125,-0.076476,-1.227455,1.227455,-1.360359,1.360359,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.865211,-0.960444,0.71103,-1.410122,-0.021125,-0.478133,0.865211,-0.865211,-0.960444,0.960444,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
1.534865,-1.280376,1.274342,-1.271473,-0.021125,-0.133856,1.534865,-1.534865,-1.280376,1.280376,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.781505,0.719199,0.640616,-0.162283,-0.021125,-0.650272,0.781505,-0.781505,0.719199,-0.719199,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.614091,-0.800478,0.499788,-1.618095,-0.021125,-0.765031,0.614091,-0.614091,-0.800478,0.800478,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.060042,0.959148,-0.908492,-1.202149,-0.021125,-1.683103,-1.060042,1.060042,0.959148,-0.959148,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.055562,0.47925,-0.063524,-0.508905,-0.021125,-0.765031,-0.055562,0.055562,0.47925,-0.47925,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.279265,1.119114,0.218132,0.808259,-0.021125,-0.133856,0.279265,-0.279265,1.119114,-1.119114,-1.410362,-0.024729,-1.436009,-0.025225,-0.547082,-0.573413,-0.608917,UP
-1.060042,-0.480546,-0.908492,-1.202149,-0.021125,-0.650272,-1.060042,1.060042,-0.480546,0.480546,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.614091,-0.160614,0.499788,-1.618095,-0.021125,-1.224067,0.614091,-0.614091,-0.160614,0.160614,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
1.200038,-1.280376,0.992686,-1.271473,-0.021125,-0.133856,1.200038,-1.200038,-1.280376,1.280376,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
1.200038,1.359063,0.992686,0.530961,-0.021125,-0.535513,1.200038,-1.200038,1.359063,-1.359063,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.055562,1.359063,-0.063524,0.461637,-0.021125,-0.592892,-0.055562,0.055562,1.359063,-1.359063,-0.02609,-1.471747,0.675223,-0.761123,1.827702,-0.573413,-0.608917,UP
0.279265,-1.440342,0.218132,-1.618095,-0.021125,-0.305994,0.279265,-0.279265,-1.440342,1.440342,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.394869,-0.000648,-1.190147,-0.300932,-0.021125,-0.248615,-1.394869,1.394869,-0.000648,0.000648,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.948918,-1.040427,0.781444,-1.340797,-0.021125,-0.363374,0.948918,-0.948918,-1.040427,1.040427,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
1.534865,-0.560529,1.274342,-0.855527,-0.021125,-0.305994,1.534865,-1.534865,-0.560529,0.560529,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.060042,0.319284,-0.908492,-1.202149,-0.021125,-1.224067,-1.060042,1.060042,0.319284,-0.319284,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.028145,0.159318,0.00689,-0.855527,-0.021125,-0.82241,0.028145,-0.028145,0.159318,-0.159318,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.311162,0.159318,-1.119733,-1.410122,-0.021125,-1.281447,-1.311162,1.311162,0.159318,-0.159318,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.227455,-0.640512,-1.04932,-1.202149,-0.021125,-0.535513,-1.227455,1.227455,-0.640512,0.640512,-0.02609,-1.471747,-0.732265,-0.761123,1.827702,-0.573413,-0.608917,UP
0.530385,0.719199,0.429374,0.184339,-0.021125,-0.363374,0.530385,-0.530385,0.719199,-0.719199,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
